decayed,image,names,name,norad_cat_id,status,telemetries
2015-02-12T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/KYSAT-2.jpg,,KYSAT-2,39384,re-entered,[]
2015-09-17T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/TJ3SAT.jpg,,TJ3SAT,39385,re-entered,[]
2016-02-04T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/COPPER.jpg,,COPPER,39395,re-entered,[]
2015-07-16T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/BLACK_NIGHT-1.jpg,,BLACK KNIGHT-1,39398,re-entered,[]
2016-05-22T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/TRAILBLAZER.jpg,SPA-1,TRAILBLAZER,39400,re-entered,[]
2015-12-13T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/SWAMPSAT.jpg,,SWAMPSAT,39402,re-entered,[]
2016-03-19T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/CHARGERSAT-1.jpg,,CHARGERSAT-1,39405,re-entered,[]
2015-11-21T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/VERMONT_LUNAR.jpg,,VERMONT LUNAR,39407,re-entered,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/index.jpeg,South Africa CubeSat-1- TshepisoSat- ZA003,ZACUBE-1,39417,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/CINEMA-3_8CJmlaD.jpg,KHUSAT-2,CINEMA-3,39426,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/delfi-next__1.jpg,,TRITON-1,39427,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/DELFI-N3XT.jpg,,DELFI-N3XT,39428,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/GOMX1_AutoE.jpeg,GATOSS,GOMX 1,39430,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/BRITE-PL.jpg,LEM,BRITE-PL,39431,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/ICUBE-1.jpg,,ICUBE-1,39432,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/humsat-d__1.jpg,,HUMSAT-D,39433,alive,[]
2018-05-19T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/50sat-eagle2.jpg,,EAGLE 2,39436,re-entered,[]
