baud,downlink_drift,alive,uplink_drift,invert,citation,description,type,norad_cat_id,uuid,mode,mode_id,service,downlink_high,uplink_high,downlink_low,updated,uplink_low,uplink_mode,status
9600.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,GMSK9k6 TLM,Transmitter,43855,WE7bhPH9BQQkbYx9qcH83M,GMSK,63,Unknown,null,null,437560000,2019-04-18T05:39:53.343316Z,null,null,active
9600.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,GMSK9k6 TLM,Transmitter,43857,zNYhXHcEHcEYgAzU66oQDb,GMSK,63,Unknown,null,null,436500000,2019-04-18T05:39:53.343316Z,null,null,active
9600.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,FSK9k6 AX.25 TLM,Transmitter,43856,5tFqJapRjY2htads89wqpM,FSK,72,Unknown,null,null,437150000,2019-04-18T05:39:53.343316Z,null,null,active
null,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,CW Beacon,Transmitter,43856,ywDrrochi6ATWwTvAh2mzh,CW,6,Unknown,null,null,437150000,2019-04-18T05:39:53.343316Z,null,null,active
9600.0,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,GMSK9k6 AX.25 TLM,Transmitter,99943,YSmZmyRWcp2QS6oLpodvzD,GMSK,63,Unknown,null,null,437505000,2019-04-18T05:39:53.343316Z,null,null,inactive
null,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,CW,Transmitter,99921,PLXzNQz3siJN9jXRyAqDHN,CW,6,Unknown,null,null,435635000,2019-04-18T05:39:53.343316Z,null,null,active
9600.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,GMSK9k6 AX.25 TLM,Transmitter,99930,WX8ESb2X7HaKD4RgMa4ofJ,GMSK,63,Unknown,null,null,437425000,2019-04-18T05:39:53.343316Z,null,null,active
null,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,VHF Tranmitter,Transceiver,99944,pXmeAuVmYb66EV8vsr9ajd,FM,1,Unknown,null,null,148800000,2019-04-18T05:39:53.343316Z,431800000,FM,inactive
19200.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Secondary,Transmitter,43758,JDidK4QteDsyXujpqZNS6a,GMSK,63,Unknown,null,null,437250000,2019-04-18T05:39:53.343316Z,null,null,active
9600.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,GMSK9k6 AX.25 TLM,Transmitter,99943,3cRwEsgyxi2ju3keP9Yfb2,GMSK,63,Unknown,null,null,437305000,2019-04-18T05:39:53.343316Z,null,null,active
null,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,MODE U/U FM VOICE,Transceiver,43881,VpxJWqL7Y6mL2if5vinBSm,FM,1,Unknown,null,null,435525000,2019-04-18T05:39:53.343316Z,437325000,FM,active
null,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,TLM,Transmitter,43881,FYAWfrT9JjDCFDvprQK7hL,FM,1,Unknown,null,null,435700000,2019-04-18T05:39:53.343316Z,null,null,inactive
9600.0,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,FSK9k6 AX.25 TLM - 16K0F2D,Transmitter,43880,YyRGE6ftmWay2yxNBJwmbX,FSK,72,Unknown,null,null,437385000,2019-04-18T05:39:53.343316Z,null,null,inactive
9600.0,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,GMSK9k6 AX.25 TLM,Transceiver,43907,mogUnEFQSzB7TYGz4jfTvP,GMSK,63,Unknown,null,null,437345000,2019-04-18T05:39:53.343316Z,437525000,GMSK,inactive
9600.0,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,GMSK9k6 2 Mbps QPSK - PAYLOAD,Transceiver,43907,mw8G3NkCvNZypWGJvr5k2i,GMSK,63,Unknown,null,null,2405000000,2019-04-18T05:39:53.343316Z,1260250000,GMSK,inactive
null,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,BEACON,Transmitter,43907,yhwGf3zSTPjWgML6zDDU7E,FM,1,Unknown,null,null,14099000,2019-04-18T05:39:53.343316Z,null,null,inactive
null,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,TLM,Transmitter,43908,oCHi6WfF6F7pbjTNUGm3Z2,FM,1,Unknown,null,null,437060000,2019-04-18T05:39:53.343316Z,null,null,inactive
4800.0,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,FSK4k8 AX.25 TLM,Transmitter,43666,YwBS8F3RZerJjms2MzAyYj,FSK,72,Unknown,null,null,436990000,2019-04-18T05:39:53.343316Z,null,null,inactive
